path	sentence	sentence_id
common_voice_mn_23409774.wav	Жаргал үзээгүй өссөн хүн гэдэг үнэн юм.	6870847c1d39173ae2d399fdbef74b4536fb4a9bd3d9ec81a3025d0f4d3a1479
common_voice_mn_18696552.wav	Үүнээс цааш оргил хүртэл бие далдлах бартаагүй болжээ.	5e5dcd20b3bc47294452810babf154c5443209fd931503bd804d7efb68e29e61
common_voice_mn_18580285.wav	Баатар ээжийнхээ өрөөнд ороход ээж нь дусал залгаастай нүдээ анин хэвтэж байлаа.	85918e164147aa8e50a19abb722503322a110a78ae261f15f406ae0d30513715
common_voice_mn_18593259.wav	Шинэхэн цас орсны маргааш зам халтиргаатай байснаас, машин гулгаж шарваад онхолдсон байжээ.	55fe3b201e04e0a7b2cf5953973767ceb95086de0b96ccd9d44ec20c157085ab
common_voice_mn_18590058.wav	Олзлогдсон холбооны дайчдын дундаас элсүүлсэн байна.	a6401eac29e8c02e8fffd8993a41bcb3cb82ff76394e833bd6676ac835c1ceb1
common_voice_mn_18585786.wav	Хятадууд урт наслалтаар дэлхийд хоёрдугаарт орсонд даяаршил нөлөөлсөн болов уу?	81a70bb5c3bd123b19fd4ac50b1cc7750af0558ea3f1588e0d9cc604e7895607
common_voice_mn_40577171.wav	Төвөөс яваа төлөөлөгчид ч тэгж хэлдэг л юм.	93160b15482392209ba7f8e39ff6685c1c62c1364e6a23540873f320fd761817
common_voice_mn_18725060.wav	Цас л тэр бодлуудыг өгсөн байх.	7ea798e3b5f7bd6b15dbced23af9af10c8aa3d9b5568b0d7a3432d59af16e5e9
common_voice_mn_40424004.wav	Хувцас хунар чирсэн нь амар байж дээ.	c2e214d0e46d25c09a8f0068e6ffb2f2c387e68607ef854b7b176583929e1e3c
common_voice_mn_18656075.wav	Тэрээр Мартаг үүдэнд хэрхэн хүлээж байгааг Жон анзаарав.	26bbe8d523489fc3dbf80ffb21ee9d22ae27b882d0220d2405a639f67ace8dc2
common_voice_mn_18583487.wav	Гэтэл энэ хүслийг хэрэгжүүлэх арга барил нь хангалтгүй байдаг.	71aeaae00eef7d99c7c68a930a1cc2d11315de5c4508062aff9ddf2bf4ea684b
common_voice_mn_18578073.wav	Цувааны хамгийн түрүүнд би явах ёстой.	36b5531c6014921799c924bf131211bad72541285cbb0c0c266c4b4b7343347b
common_voice_mn_23379725.wav	Юу ч гэсэн ид гэсэн цагт идээд байгаарай!	92a590763ca873a01a5f787deb4bdb475073c7508234020ed1412626df8f7c5f
common_voice_mn_23696720.wav	Үүнтэй ихэд төстэй агуулга Юмсуновын сурвалжид ч бас тохиолдож байдаг.	a749604b8f267c1861274b7f0d960b00a17b9141097e5074571a6f39d1fd9bb1
common_voice_mn_40425032.wav	Гэвч түүний нүдэнд бол инээмсэглэл байгаагүй.	0656a798e41db941975ddfb56b9929efdcd184be0ea7f339716d28da3159a96f
common_voice_mn_19565750.wav	Долгион салхинд сэвэлзэх тас хар шанхыг нь аяархан илж үзэгдэнэ.	5e79596c64431908291b0fbb3b1b8a4da27045bd0d37cef9b4f482a2c6312558
common_voice_mn_18577978.wav	Өглөө дунд сургуулийнхан биднийг бага сургуулийн хашаанд оруулчихаад цаашаа явна.	51c125678001fc6583e7db6ec59fc286e8c0a593e62e3016129549721e20b5d5
common_voice_mn_28795976.wav	Үргэлж дагаад байхаар цаадах чинь улам цаашаа очиж, бүр сөгдүүлэх гээд байгаа юм.	febe466207429c1eb568a9ec96051de7461db92877e4e498c791c625014bb069
common_voice_mn_40472716.wav	Энэ ямар учиртай үг болохыг энд байгаа хүмүүс сайн мэднэ.	b043aeea46520b2d23af3392c33f054b424310ad799b09e2736651f93b6359f2
common_voice_mn_18681940.wav	Доктор та гэр лүүгээ явах гэж байна уу?	5d9274459bd9ca9fe6b72fbdeaf4f005fc5f6ddeb6818102f033980db6fa1a2f
common_voice_mn_19468746.wav	Тэгээд би арай гэж сэхээ авлаа.	560853f21fd8d06c2d6f3de337baae07a349d442aff9a6ef5b3102d306b41399
common_voice_mn_18608219.wav	Харин морьд нь их эцэж цуцсан тул арайхийн сажилж байна.	d7abf7ac8de071ef6c9aa8e4941b9c11ed3d9ce116623f51d2e8a7d8547d81d8
common_voice_mn_19490437.wav	Гол улс ширгэхээс сэргийлж монгол хүн гол усны сав газрыг огт хөндөхгүй.	5c288f4d2d0aeff61e455845a5a2d0dc2ba225b51cf5caa3475f731ba17903df
common_voice_mn_18577568.wav	Үүний мөрөөр Дашчойлин хийд дээр ажиглалт асуулгын аргаар судалгаа авсан юм.	481151c4dd9eaa15d79224e1065b2ee4dc60deabc26600b1c8cd0d248b63ff42
common_voice_mn_23409726.wav	Нарийвчилбал, морин дээр суусан нь цэмцгэр бөгөөд зайлшгүй Балгармаа мөн.	fa9f628afd34d079e9b4b2ec0753ccecc1ce1c0468912918371c34c67f0de619
common_voice_mn_18967086.wav	Лувсанжавыг тэнгэрт тултал магтаж идеал хүн болгох гээгүй л дээ.	117ce5bc56a361b2f6197594c522f8fe96f2f01e62a3a29139e033420c73d10a
common_voice_mn_23409648.wav	Үүний дараа илүү ханамжтай царайлан сандалд суулаа.	9f672e9af0dccc22911767c247b602515b70ad4d630a57228a64810223f9eef7
common_voice_mn_25535388.wav	Түүнчлэн Москвагаас ирж байгаа радио нэвтрүүлгийг тайлж унших боломж олдоно.	f11ebcc6ed2d7e962d8b7ad9f740f7dc24dd5c14f82de710f46c7e5bf0ec2917
